Country Name,Income Group,Country Code,Year,Value
Afghanistan,Low income,AFG,2019,65.80603027
Africa Eastern and Southern,,AFE,2019,91.97011308
Africa Western and Central,,AFW,2019,61.33847612
Albania,Upper middle income,ALB,2019,
Algeria,Lower middle income,DZA,2019,248.2058716
American Samoa,Upper middle income,ASM,2019,
Andorra,High income,AND,2019,2744.194336
Angola,Lower middle income,AGO,2019,71.32600403
Antigua and Barbuda,High income,ATG,2019,760.2649536
Arab World,,ARB,2019,381.5759811
Argentina,Upper middle income,ARG,2019,945.9919434
Armenia,Upper middle income,ARM,2019,523.9990845
Aruba,High income,ABW,2019,
Australia,High income,AUS,2019,5427.462402
Austria,High income,AUT,2019,5242.183105
Azerbaijan,Upper middle income,AZE,2019,193.1088409
"Bahamas, The",High income,BHS,2019,2004.616333
Bahrain,High income,BHR,2019,940.3956909
Bangladesh,Lower middle income,BGD,2019,45.85716248
Barbados,High income,BRB,2019,1143.322021
Belarus,Upper middle income,BLR,2019,399.3970947
Belgium,High income,BEL,2019,4960.393555
Belize,Lower middle income,BLZ,2019,293.4125977
Benin,Lower middle income,BEN,2019,29.12529182
Bermuda,High income,BMU,2019,
Bhutan,Lower middle income,BTN,2019,115.9807587
Bolivia,Lower middle income,BOL,2019,245.9234772
Bosnia and Herzegovina,Upper middle income,BIH,2019,553.822937
Botswana,Upper middle income,BWA,2019,481.5330505
Brazil,Upper middle income,BRA,2019,853.3879395
British Virgin Islands,High income,VGB,2019,
Brunei Darussalam,High income,BRN,2019,671.5626831
Bulgaria,Upper middle income,BGR,2019,697.8963623
Burkina Faso,Low income,BFA,2019,42.3445282
Burundi,Low income,BDI,2019,20.56754112
Cabo Verde,Lower middle income,CPV,2019,177.8902741
Cambodia,Lower middle income,KHM,2019,113.3104401
Cameroon,Lower middle income,CMR,2019,53.99584961
Canada,High income,CAN,2019,5048.372559
Caribbean small states,,CSS,2019,646.7514988
Cayman Islands,High income,CYM,2019,
Central African Republic,Low income,CAF,2019,37.19958115
Central Europe and the Baltics,,CEB,2019,1094.7497
Chad,Low income,TCD,2019,29.85083008
Channel Islands,High income,CHI,2019,
Chile,High income,CHL,2019,1375.802979
China,Upper middle income,CHN,2019,535.1333618
Colombia,Upper middle income,COL,2019,495.3297119
Comoros,Lower middle income,COM,2019,72.32379913
"Congo, Dem. Rep.",Low income,COD,2019,20.57073212
"Congo, Rep.",Lower middle income,COG,2019,48.55877304
Costa Rica,Upper middle income,CRI,2019,921.5857544
Cote d'Ivoire,Lower middle income,CIV,2019,75.08779144
Croatia,High income,HRV,2019,1040.085693
Cuba,Upper middle income,CUB,2019,1031.921753
Curacao,High income,CUW,2019,
Cyprus,High income,CYP,2019,1996.458252
Czech Republic,High income,CZE,2019,1844.217773
Denmark,High income,DNK,2019,6003.325195
Djibouti,Lower middle income,DJI,2019,61.80943298
