"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Africa Eastern and Southern","AFE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117.467280162142","125.101752800111","123.750953408727","135.831857468293","144.733246310366","153.293827709921","169.960208959395","183.48846603992","189.198943654737","199.377868904873","202.039718500169","211.733799486454","203.799040455698","215.997412631601","212.190490526044","220.43860533741","223.939349985642","216.667705868311","216.535011910111","219.472252139136","","",
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD","153.494439072145","152.873312908012","162.41318758822","189.506169782403","168.816994619302","187.396306436948","198.450500838547","200.001626036383","212.136594948937","236.990564154968","246.229425185351","264.128913543337","278.816113898675","353.298911849758","426.461075083058","441.731197186416","427.912059114267","474.435495499142","515.85934532971","586.477950879068","715.993699687692","712.511599507411","667.359263468998","669.459514526711","594.217315162787","515.408015379696","564.038007944501","669.451580498847","683.536217270864","683.366150798039","724.753274587965","728.916319620883","699.847997733719","714.078078412826","705.575324533764","771.344125401511","747.840070917727","765.963756237343","703.090298896058","675.804263446166","713.245921054769","633.608788994641","631.870339558402","819.743981457504","993.762711096436","1129.80871033245","1237.11180175654","1382.86903874723","1442.16815788071","1412.11128439583","1634.44825309864","1770.73623014017","1736.16655986305","1713.89929866184","1703.59629838885","1549.03794037642","1431.7787234042","1573.06338581001","1574.97864775317","1530.05917655094","1359.61822418526","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","42.7160525263364","43.1669350691766","43.6039902540244","44.0256167023782","44.4327209668265","44.8269185053447","45.2130477077738","45.5942941174189","45.9740588428679","46.3523988952427","46.7287965127791","47.1028663204687","47.4711684318316","47.8294031049271","48.1749986572569","48.5033109025954","48.8108365311431","49.0978495787067","49.3663275658959","49.6199971960873","49.8706925374772","50.11588583507","50.3634564074708","50.6103849128502","50.8483347763205","51.0580570906536","51.2142808516956","51.2997808475578","51.3085954769909","51.2517631065044","51.154113100187","51.0484138261888","50.9572621198378","50.8902461024847","50.8418649636072","50.8084844038107","50.7961569715184","50.8206135660064","50.8976071774296","51.0441913292055","51.2761288844047","51.6064582838941","52.0431492826438","52.5858533977139","53.2289134701853","53.96655013393","54.7917066462486","55.6823435005197","56.6097989195142","57.5487718622889","58.4706966763051","59.3535949230704","60.1855610471991","60.9533629561754","61.6473665890637","62.2592883749181","62.7876814850688","63.2462635340566","63.648988039777","64.0052126245997","64.3257022314803","",
"Africa Eastern and Southern","AFE","Population, female","SP.POP.TOTL.FE.IN","66138022","67805115","69546443","71357834","73231854","75164402","77154237","79207498","81335432","83553176","85871917","88297078","90827274","93457685","96181276","98993012","101893329","104886141","107971412","111156037","114440574","117822046","121301361","124889257","128602985","132449478","136433885","140550131","144777629","149093423","153477806","157930982","162454689","167041513","171686690","176383443","181135920","185952841","190850451","195855459","200985544","206249128","211655114","217219737","222965267","228908107","235056143","241410391","247972024","254736483","261702432","268866603","276231936","283785702","291513480","299403888","307452123","315655751","324003969","332485163","341090736","",
"Africa Eastern and Southern","AFE","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.5500281777211","50.5405661605952","50.5370949546756","50.535980723162","50.5325413500509","50.5239056016589","50.5092560047576","50.4903674678703","50.469864895989","50.4512343304056","50.436587550929","50.4266101209408","50.4200593968819","50.415052672252","50.4092636672897","50.401223760281","50.3909115244721","50.3792718866309","50.3672256387196","50.3560043424819","50.3464941930698","50.3387377653974","50.3326958928599","50.3288833889788","50.3279277860113","50.3301215089769","50.3353080868371","50.3430931824447","50.3531876048636","50.3652070155124","50.3787325321632","50.3936363106325","50.4094866544762","50.4252549100455","50.4397214373371","50.4521132954055","50.4622106071435","50.4702373394443","50.4763983559528","50.4810744523806","50.4845412297735","50.4866477364485","50.4873901680705","50.487259878428","50.4868763918696","50.4865568854401","50.4865868353975","50.4866366894175","50.4856624785613","50.4823870918714","50.4760789408518","50.4666996240163","50.4549008350483","50.4416825019388","50.4282821270069","50.4155718350229","50.4037269002959","50.3926147801768","50.382357540847","50.3730081696001","50.3645789636472","",
"Africa Eastern and Southern","AFE","Population, male","SP.POP.TOTL.MA.IN","64698743","66354671","68068201","69844202","71688332","73605572","75598434","77668956","79820998","82058584","84385272","86803089","89313874","91918865","94619520","97416925","100312437","103306904","106396981","109584347","112865371","116236358","119697773","123257033","126927078","130711973","134616180","138634405","142746629","146931216","151170204","155463711","159815384","164224066","168693244","173222217","177817675","182487750","187247942","192122531","197127500","202273001","207568603","213026898","218664882","224495969","230525229","236756520","243201136","249868189","256765797","263893821","271250927","278815876","286561893","294467959","302526823","310737129","319086162","327561109","336152563","",
"Africa Eastern and Southern","AFE","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","49.4499718222789","49.4594338394048","49.4629050453244","49.464019276838","49.4674586499491","49.4760943983411","49.4907439952424","49.5096325321297","49.530135104011","49.5487656695944","49.563412449071","49.5733898790592","49.5799406031181","49.584947327748","49.5907363327103","49.598776239719","49.6090884755279","49.6207281133691","49.6327743612804","49.6439956575181","49.6535058069302","49.6612622346026","49.6673041071401","49.6711166110212","49.6720722139887","49.669878491023","49.6646919131629","49.6569068175553","49.6468123951364","49.6347929844876","49.6212674678368","49.6063636893675","49.5905133455238","49.5747450899545","49.5602785626629","49.5478867045946","49.5377893928565","49.5297626605557","49.5236016440473","49.5189255476194","49.5154587702265","49.5133522635515","49.5126098319295","49.512740121572","49.5131236081304","49.51344311456","49.5134131646025","49.5133633105825","49.5143375214387","49.5176129081286","49.5239210591482","49.5333003759837","49.5450991649517","49.5583174980612","49.5717178729931","49.5844281649771","49.5962730997041","49.6073852198232","49.617642459153","49.6269918303999","49.6354210363528","",
"Africa Eastern and Southern","AFE","Population, total","SP.POP.TOTL","130836765","134159786","137614644","141202036","144920186","148769974","152752671","156876454","161156430","165611760","170257189","175100167","180141148","185376550","190800796","196409937","202205766","208193045","214368393","220740384","227305945","234058404","240999134","248146290","255530063","263161451","271050065","279184536","287524258","296024639","304648010","313394693","322270073","331265579","340379934","349605660","358953595","368440591","378098393","387977990","398113044","408522129","419223717","430246635","441630149","453404076","465581372","478166911","491173160","504604672","518468229","532760424","547482863","562601578","578075373","593871847","609978946","626392880","643090131","660046272","677243299","",
"Africa Western and Central","AFW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.6750769654284","82.1425105258897","79.6660059645633","118.302697114607","119.973695343002","124.368472165835","125.4878090197","125.871410875103","129.231489361302","138.239755439249","129.520988547164","136.969029966997","138.421723264487","147.707546813389","155.168493797531","160.98171276932","155.823606479277","156.090741910687","143.494063371659","146.987807488024","","",
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD","107.932233293366","113.081646612926","118.831106706209","123.442887950613","131.854401909578","138.526332388544","144.326212453632","128.582470199789","129.641106185266","143.715631573582","195.433564888654","169.119100472264","200.168407134048","241.711430329646","333.192493397619","377.788046952202","444.374421151956","454.790166433819","482.477486200178","584.373990532901","718.691848126908","1316.93170404015","1136.46243630013","815.900740280563","656.712783360308","651.510094102516","584.907219262827","584.119205546599","561.36145852303","510.419105485422","594.72600919977","558.435680915393","547.663092908291","445.656206211034","378.940492935927","462.864808608456","523.763526573847","515.234581172978","513.64255070099","528.577393652426","525.450342923443","539.335724366342","627.773944464993","706.955063040869","854.506836384316","1016.47597797202","1252.59514686795","1430.79640012068","1707.27226359303","1486.57265423522","1687.5519789005","1862.30826705039","1965.11848480873","2157.48114862974","2212.85313466307","1894.3101949536","1673.83552685464","1613.47355303429","1704.1396025899","1777.91867152634","1710.07336335627","",
